ability	(n) [əˈbɪlɪti] khả năng
idea	(n) [aɪˈdɪə(r)] ý tưởng, ý kiến
identify	(v) [aɪˈdentɪfaɪ] nhận dạng, xác định
identity	(n) [aɪˈdentɪti] bản thân, danh tính
ideological	(adj) [ˌaɪdiəˈlɒdʒɪkl] theo chủ nghĩa, theo lý luận
if	(conj) [ɪf] nếu, nếu
ignore	(v) [ɪɡˈnɔː(r)] phớt lờ, bỏ qua
ill	(adj) [ɪl] ốm, bệnh
illegal	(adj) [ɪˈliːɡəl] bất hợp pháp, trái phép
illness	(n) [ˈɪlnəs] bệnh, sự ốm đau
illustrate	(v) [ˈɪləstreɪt] minh họa, làm rõ
image	(n) [ˈɪmɪdʒ] hình ảnh, hình ảnh
imagination	(n) [ɪˌmædʒɪˈneɪʃn] trí tưởng tượng, sự tưởng tượng
imagine	(v) [ɪˈmædʒɪn] tưởng tượng, mường tượng
immediate	(adj) [ɪˈmiːdiət] ngay lập tức, ngay lập tức
immediately	(adv) [ɪˈmiːdiətli] ngay lập tức, ngay lập tức
immigrant	(n) [ˈɪmɪɡrənt] người nhập cư, người nhập cư
immigration	(n) [ˌɪmɪˈɡreɪʃn] nhập cư, nhập cư
impact	(n) [ˈɪmpækt] tác động, ảnh hưởng
implement	(v) [ˈɪmplɪment] thực hiện, thi hành
implication	(n) [ˌɪmplɪˈkeɪʃn] hàm ý, sự ngụ ý
imply	(v) [ɪmˈplaɪ] ám chỉ, ngụ ý
import	(v) [ɪmˈpɔːt] nhập khẩu, nhập khẩu
importance	(n) [ɪmˈpɔːtəns] quan trọng, sự quan trọng
important	(adj) [ɪmˈpɔːtnt] quan trọng, quan trọng
impose	(v) [ɪmˈpəʊz] áp đặt, đặt ra
impossible	(adj) [ɪmˈpɒsəbl] không thể, không thể

